Company Code,Fiscal Year,Posting period,Posting Date,Document Date,G/L Account,Reference,Document Currency,Tax Code,Amount in Doc. Curr.,Document Type,Value date,Text
1234,2025,7,7/9/2025,7/9/2025,13003115,849,USD,YI,718.73,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,954,USD,YI,953.58,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,310,USD,YI,179.07,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,71,USD,YI,"2,323.81",RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,307,USD,YI,207.92,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,650,USD,YI,287.39,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,377,USD,YI,"20,832.48",RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,396,USD,YI,"4,839.82",RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,167,USD,YI,207.92,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,79,USD,YI,953.58,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,916,USD,YI,51.98,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,667,USD,YI,207.92,RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/22/2025,7/9/2025,13003115,98,EUR,YI,"6,438.16",RE,7/22/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/28/2025,7/24/2025,13003115,474,GBP,YA,"1,150.00",RE,7/28/2025,Invoice - Gross-VAT Rec Input RC
